time,source,destination,rssi_dbm,snr_db,packet_received,pdr,latency_ms,drop_reason,condition
1788859722.624,2,1,-39.297,80.703,1,0.800,414.105,,DEGRADED
1788859722.625,2,3,-39.297,80.703,1,1.000,409.546,,NORMAL
1788859722.625,3,1,-46.370,73.630,1,1.000,410.307,,NORMAL
1788859722.625,3,2,-39.297,80.703,1,1.000,408.062,,NORMAL
1788859723.677,1,2,-39.304,80.696,1,1.000,411.003,,NORMAL
1788859723.678,1,3,-46.378,73.622,1,1.000,399.576,,NORMAL
1788859723.678,2,1,-39.304,80.696,1,1.000,401.268,,NORMAL
1788859723.679,2,3,-39.307,80.693,1,1.000,404.609,,NORMAL
1788859723.679,3,1,-46.378,73.622,1,1.000,403.654,,NORMAL
1788859723.679,3,2,-39.307,80.693,1,1.000,401.760,,NORMAL
1788859724.720,1,2,-39.303,80.697,1,1.000,400.562,,NORMAL
1788859724.720,1,3,-46.375,73.625,1,1.000,397.557,,NORMAL
1788859724.720,2,1,-39.303,80.697,1,1.000,397.535,,NORMAL
1788859724.720,2,3,-39.307,80.693,1,1.000,410.388,,NORMAL
1788859724.721,3,1,-46.375,73.625,1,1.000,399.472,,NORMAL
1788859724.721,3,2,-39.307,80.693,1,1.000,409.636,,NORMAL
1788859725.749,1,2,-39.293,80.707,0,0.800,405.637,channel_loss,DEGRADED
1788859725.749,1,3,-46.365,73.635,1,1.000,397.155,,NORMAL
1788859725.749,3,2,-39.306,80.694,1,1.000,399.694,,NORMAL
1788859725.749,1,3,-46.365,73.635,1,1.000,395.427,,NORMAL
1788859725.750,2,1,-39.293,80.707,1,1.000,400.630,,NORMAL
1788859725.750,2,3,-39.306,80.694,0,0.800,406.211,channel_loss,DEGRADED
1788859725.750,2,1,-39.293,80.707,1,1.000,397.670,,NORMAL
1788859725.750,1,3,-46.365,73.635,1,1.000,404.962,,NORMAL
1788859725.750,3,1,-46.365,73.635,1,1.000,406.625,,NORMAL
1788859725.750,3,2,-39.306,80.694,1,1.000,403.953,,NORMAL
1788859726.783,1,2,-39.297,80.703,1,0.800,396.172,,DEGRADED
1788859726.783,1,3,-46.355,73.645,0,0.857,404.699,channel_loss,NORMAL
1788859726.783,1,2,-39.297,80.703,1,0.800,403.158,,DEGRADED
1788859726.783,2,3,-39.301,80.699,1,0.800,407.733,,DEGRADED
1788859726.784,2,1,-39.297,80.703,1,1.000,398.128,,NORMAL
1788859726.784,2,3,-39.301,80.699,1,0.800,401.221,,DEGRADED
1788859726.784,3,1,-46.355,73.645,0,0.750,397.513,channel_loss,DEGRADED
1788859726.784,3,2,-39.301,80.699,1,1.000,407.270,,NORMAL
1788859726.784,2,1,-39.297,80.703,1,1.000,399.658,,NORMAL
1788859726.785,3,2,-39.301,80.699,1,1.000,404.154,,NORMAL
1788859727.784,1,2,-39.333,80.667,1,0.800,412.347,,DEGRADED
1788859727.784,1,3,-46.355,73.645,0,0.667,401.252,channel_loss,DEGRADED
1788859727.784,1,2,-39.333,80.667,1,0.833,407.337,,DEGRADED
1788859727.784,2,3,-39.297,80.703,1,0.800,414.096,,DEGRADED
1788859727.785,2,1,-39.333,80.667,1,1.000,399.365,,NORMAL
1788859727.785,2,3,-39.297,80.703,1,0.833,398.285,,DEGRADED
1788859727.785,3,1,-46.355,73.645,1,0.750,396.645,,DEGRADED
1788859727.785,3,2,-39.297,80.703,1,1.000,404.154,,NORMAL
1788859728.824,1,2,-39.387,80.613,1,0.833,400.969,,DEGRADED
1788859728.824,1,3,-46.369,73.631,1,0.667,409.283,,DEGRADED
1788859728.824,2,1,-39.387,80.613,1,1.000,404.225,,NORMAL
1788859728.825,2,3,-39.301,80.699,1,0.833,413.622,,DEGRADED
