time,message_type,payload
1788859987.524,ObservationPublished,"open_tasks=['T001', 'T002', 'T003']; allocator_connected=false"
1788859988.551,ObservationPublished,"open_tasks=['T001', 'T002', 'T003']; allocator_connected=false"
1788859989.585,ObservationPublished,"open_tasks=['T001', 'T002', 'T003']; allocator_connected=false"
1788859990.693,ObservationPublished,"open_tasks=['T001', 'T002', 'T003']; allocator_connected=false"
1788859991.739,ObservationPublished,"open_tasks=['T001', 'T002', 'T003']; allocator_connected=false"
1788859992.779,ObservationPublished,"open_tasks=['T001', 'T002', 'T003']; allocator_connected=false"
1788859993.847,ObservationPublished,"open_tasks=['T001', 'T002', 'T003']; allocator_connected=false"
1788859994.917,ObservationPublished,"open_tasks=['T001', 'T002', 'T003']; allocator_connected=false"
1788859996.390,ObservationPublished,"open_tasks=['T001', 'T002', 'T003']; allocator_connected=false"
1788859997.555,ObservationPublished,"open_tasks=['T001', 'T002', 'T003']; allocator_connected=false"
1788859998.712,ObservationPublished,"open_tasks=['T001', 'T002', 'T003', 'T004']; allocator_connected=false"
1788859999.752,ObservationPublished,"open_tasks=['T001', 'T002', 'T003', 'T004']; allocator_connected=false"
1788860000.789,ObservationPublished,"open_tasks=['T001', 'T002', 'T003', 'T004']; allocator_connected=false"
1788860001.833,ObservationPublished,"open_tasks=['T001', 'T002', 'T003', 'T004']; allocator_connected=false"
1788860002.882,ObservationPublished,"open_tasks=['T001', 'T002', 'T003', 'T004']; allocator_connected=false"
1788860003.954,ObservationPublished,"open_tasks=['T001', 'T002', 'T003', 'T004']; allocator_connected=false"
1788860005.011,ObservationPublished,"open_tasks=['T001', 'T002', 'T003', 'T004']; allocator_connected=false"
1788860006.050,ObservationPublished,"open_tasks=['T001', 'T002', 'T003', 'T004']; allocator_connected=false"
1788860007.096,ObservationPublished,"open_tasks=['T001', 'T002', 'T003', 'T004']; allocator_connected=false"
1788860008.139,ObservationPublished,"open_tasks=['T001', 'T002', 'T003', 'T004']; allocator_connected=false"
1788860009.190,ObservationPublished,"open_tasks=['T001', 'T002', 'T003', 'T004']; allocator_connected=false"
1788860010.220,ObservationPublished,"open_tasks=['T001', 'T002', 'T003', 'T004']; allocator_connected=false"
