time,message_type,payload
1788859490.940,ObservationPublished,open_tasks=['T001']; allocator_connected=false
1788859491.971,ObservationPublished,open_tasks=['T001']; allocator_connected=false
1788859493.031,ObservationPublished,open_tasks=['T001']; allocator_connected=false
1788859494.063,ObservationPublished,open_tasks=['T001']; allocator_connected=false
1788859495.091,ObservationPublished,"open_tasks=['T001', 'T002']; allocator_connected=false"
1788859496.153,ObservationPublished,"open_tasks=['T001', 'T002']; allocator_connected=false"
1788859497.195,ObservationPublished,"open_tasks=['T001', 'T002']; allocator_connected=false"
1788859498.281,ObservationPublished,"open_tasks=['T001', 'T002']; allocator_connected=false"
1788859499.301,ObservationPublished,"open_tasks=['T001', 'T002']; allocator_connected=false"
1788859500.329,ObservationPublished,"open_tasks=['T001', 'T002']; allocator_connected=false"
1788859501.388,ObservationPublished,"open_tasks=['T001', 'T002', 'T003']; allocator_connected=false"
1788859502.450,ObservationPublished,"open_tasks=['T001', 'T002', 'T003']; allocator_connected=false"
1788859503.512,ObservationPublished,"open_tasks=['T001', 'T002', 'T003']; allocator_connected=false"
1788859504.542,ObservationPublished,"open_tasks=['T001', 'T002', 'T003']; allocator_connected=false"
1788859505.554,ObservationPublished,"open_tasks=['T001', 'T002', 'T003']; allocator_connected=false"
1788859506.575,ObservationPublished,"open_tasks=['T001', 'T002', 'T003']; allocator_connected=false"
1788859507.616,ObservationPublished,"open_tasks=['T001', 'T002', 'T003']; allocator_connected=false"
1788859508.679,ObservationPublished,"open_tasks=['T001', 'T002', 'T003']; allocator_connected=false"
1788859509.760,ObservationPublished,"open_tasks=['T001', 'T002', 'T003']; allocator_connected=false"
1788859510.777,ObservationPublished,"open_tasks=['T001', 'T002', 'T003']; allocator_connected=false"
1788859511.810,ObservationPublished,"open_tasks=['T001', 'T002', 'T003']; allocator_connected=false"
1788859512.837,ObservationPublished,"open_tasks=['T001', 'T002', 'T003']; allocator_connected=false"
1788859513.872,ObservationPublished,"open_tasks=['T001', 'T002', 'T003', 'T004']; allocator_connected=false"
1788859514.910,ObservationPublished,"open_tasks=['T001', 'T002', 'T003', 'T004']; allocator_connected=false"
1788859515.936,ObservationPublished,"open_tasks=['T001', 'T002', 'T003', 'T004']; allocator_connected=false"
1788859516.948,ObservationPublished,"open_tasks=['T001', 'T002', 'T003', 'T004']; allocator_connected=false"
1788859518.000,ObservationPublished,"open_tasks=['T001', 'T002', 'T003', 'T004']; allocator_connected=false"
1788859519.042,ObservationPublished,"open_tasks=['T001', 'T002', 'T003', 'T004']; allocator_connected=false"
1788859520.094,ObservationPublished,"open_tasks=['T001', 'T002', 'T003', 'T004']; allocator_connected=false"
1788859521.145,ObservationPublished,"open_tasks=['T001', 'T002', 'T003', 'T004']; allocator_connected=false"
1788859522.548,ObservationPublished,"open_tasks=['T001', 'T002', 'T003', 'T004']; allocator_connected=false"
1788859523.696,ObservationPublished,"open_tasks=['T001', 'T002', 'T003', 'T004']; allocator_connected=false"
1788859524.841,ObservationPublished,"open_tasks=['T001', 'T002', 'T003', 'T004']; allocator_connected=false"
